,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
21,Wok Wok,ChIJc3X_z9JB0i0RlQFH-6njFeo,-8.699838399999999,115.2628943,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.89a, Sanur, Kota Denpasar"
22,Warung Makan SMS Sanur,ChIJa3QfM7hB0i0RYx1RN5CIZDQ,-8.698298,115.256827,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Betngandang I No.25, Sanur, Kota Denpasar"
23,Surya The Grills,ChIJq3k-EsFB0i0RpAsuJNpr0XY,-8.704006099999999,115.264214,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","77W7+9MW, Jl. Setapak, Sanur, Kota Denpasar"
24,Gong Restaurant Sanur,ChIJ9Z5U5blB0i0RK9P3CC8E8aQ,-8.699417799999999,115.2573352,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Tirta Akasa, Sanur Kauh, Kota Denpasar"
25,Apa Kabar Restaurant,ChIJFxTdl8BB0i0RIRNiHi-CtEE,-8.7036111,115.2608333,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.190, Sanur, Kota Denpasar"
26,Nelayan Sanur Bay,ChIJR6CPpsFB0i0RcLnLLaB2GB4,-8.7052344,115.2638266,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","77V7+WG4, Jl. Setapak, Sanur, Kota Denpasar"
27,Red Manna,ChIJxYtD1b9B0i0RHBFxxSkTSj4,-8.7078128,115.2574325,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Cemara No.37d, Sanur, Kota Denpasar"
28,Beach Club Restaurant,ChIJVRhGOJVB0i0RISP2Rp4Mo4o,-8.709017,115.2586562,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","a Beach Resort and Spa, Puri Santrian Jl. Cemara No.35, Sanur, Kota Denpasar"
29,Ari Putri Restaurant,ChIJz1jp279B0i0RMxSZIwH59aY,-8.7073583,115.2581186,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Cemara No.38, Sanur, Kota Denpasar"
30,Nonadansa Kitchen & Coffee,ChIJX7-mHLNB0i0RQKJEyfplFqc,-8.705851899999999,115.2537415,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Poso No.54, Sanur Kauh, Kota Denpasar"
31,Soul in a Bowl,ChIJZXwrFzVA0i0RsZAZicicjvw,-8.702661899999999,115.2613883,4.5,"['cafe', 'night_club', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Jl. Danau Tamblingan No.180, Sanur, Kota Denpasar"
32,Selada Restaurant,ChIJO9lDJb5B0i0R7caY8VXzBjc,-8.7072439,115.2562502,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Sudamala No.17, Sanur Kauh, Kota Denpasar"
33,La Playa Cafe,ChIJ2_aqJ8FB0i0R8hXR9ZFhAbI,-8.7034494,115.264461,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","77W7+JQG, Jl. Setapak, Sanur, Kota Denpasar"
34,Lilla Pantai,ChIJbeZyp8FB0i0RXEoDXPN3SuY,-8.704885899999999,115.2640038,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Duyung Jl. Sanur Beach Street Walk, Sanur, Bali, Kota Denpasar"
35,THE HIVE - SANUR,ChIJYXf_e4BB0i0RUzi4NCaKGxE,-8.7051958,115.2580607,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Poso No.92, Sanur, Kota Denpasar"
36,Sanora Restaurant & Bar,ChIJtdjonyNB0i0Rifzrqr0YpHQ,-8.6970575,115.2589019,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Bypass Ngurah Rai No.255, Sanur, Kota Denpasar"
